0,1,2
-0.9524921,-1.3913885,-1.6754372
-1.7869548,-2.336886,-2.7998593
-0.942857,-1.3768014,-1.6688671
-1.007476,-1.4471895,-1.7608837
-2.2608879,-2.8737683,-3.4386728
-1.3654531,-1.8536774,-2.2417169
-4.0355325,-4.90606,-5.7923846
-1.9182676,-2.4814982,-2.9840932
-0.97751594,-1.4136418,-1.719816
-0.30654094,-0.64722574,-0.8264546
-0.51748383,-0.8889471,-1.1059602
-1.1961316,-1.6584688,-2.0194254
-1.546786,-2.0622072,-2.4806972
-2.7935638,-3.4787426,-4.153963
-1.3112012,-1.7920371,-2.1689098
0.10647726,-0.2522278,-0.3515825
0.54295194,0.06726313,0.037408873
-0.9598365,-1.3948654,-1.6937994
-0.1278942,-0.4914579,-0.6259556
-3.6221218,-4.4260693,-5.255542
-6.3835306,-7.5618362,-8.964393
-4.871427,-5.846431,-6.9305305
-5.2206383,-6.2472897,-7.3920326
-0.5250405,-0.9021245,-1.108078
-0.8692132,-1.2920552,-1.5719107
-0.22067997,-0.5587467,-0.69536954
-3.198502,-3.9375696,-4.699597
-0.17307803,-0.5038742,-0.63286346
0.37767094,-0.048621226,-0.10086717
-5.1341114,-6.157976,-7.26019
-6.2007685,-7.340721,-8.742648
0.15247253,-0.232084,-0.3151489
-4.904295,-5.886465,-6.969939
-5.889797,-7.0185986,-8.270801
-0.7780194,-1.1928972,-1.4417418
-0.71922445,-1.1217736,-1.3703893
0.10560265,-0.30776295,-0.39445537
0.54295194,0.06726313,0.037408873
-1.0747585,-1.5209154,-1.8559304
-2.4972157,-3.1461058,-3.749146
-4.33799,-5.2361355,-6.222006
0.27272388,-0.15941855,-0.22517683
-2.122223,-2.7152462,-3.2542818
-2.2702286,-2.8886046,-3.443828
-4.2573495,-5.141839,-6.1184573
-7.418932,-8.779242,-10.282284
-6.7218285,-7.9406147,-9.4281645
-0.3274115,-0.73579395,-0.9000003
-3.4490094,-4.2251215,-5.030665
-1.4022845,-1.9052702,-2.2741158
-0.20511475,-0.5400448,-0.67625767
-2.2660787,-2.8809323,-3.4434264
-4.5049706,-5.4236317,-6.4499855
-2.9154358,-3.6153145,-4.320833
0.06480226,-0.28019294,-0.3845669
-6.528902,-7.743017,-9.131504
-3.6903124,-4.497349,-5.357885
-2.0091238,-2.5794506,-3.115246
0.14232725,-0.25421086,-0.34435165
-4.5997972,-5.52829,-6.5826316
-4.5984335,-5.5331726,-6.5695615
-2.9477582,-3.657302,-4.3550134
-0.89928114,-1.32924,-1.6069819
-5.975606,-7.104046,-8.40701
-1.4210212,-1.919739,-2.3116984
-2.42327,-3.0565162,-3.660199
0.13001634,-0.2860175,-0.37826544
-5.0937314,-6.0887737,-7.2474236
-0.48459435,-0.8524615,-1.0607129
-2.2547128,-2.8689442,-3.4271421
-1.5060823,-2.0171518,-2.4245238
-1.6821,-2.2167192,-2.6614845
-1.8440702,-2.401991,-2.8767014
-3.7655303,-4.5965457,-5.435617
-1.1855958,-1.6535826,-1.99343
-3.400808,-4.1719203,-4.9638987
-1.5352585,-2.0547056,-2.4560344
0.5383189,0.063305624,0.03255406
-3.9277332,-4.768216,-5.6752186
-4.1191087,-4.9966216,-5.9130187
-3.4103067,-4.186304,-4.9704113
-0.6682801,-1.0632918,-1.3035365
-1.2792928,-1.7588403,-2.121261
0.5383189,0.063305624,0.03255406
-2.3834417,-3.0150414,-3.6001883
-4.9075894,-5.896201,-6.9647617
-1.4317462,-1.9345846,-2.321474
-2.7682416,-3.447047,-4.1256433
-2.9862278,-3.699702,-4.409547
-0.3421955,-0.6975244,-0.8577032
-3.9624012,-4.8151326,-5.7086773
-0.3295555,-0.7344377,-0.8960382
-0.6086614,-1.0014414,-1.2133025
-1.6959693,-2.230047,-2.6843174
-2.4736269,-3.1167252,-3.7225833
-0.6714716,-1.0552175,-1.3281327
-2.5747335,-3.229366,-3.8621562
-7.7794385,-9.167839,-10.803918
-2.79082,-3.4791443,-4.1447573
-4.5170865,-5.4443965,-6.4547763
-6.806351,-8.054291,-9.511748
-0.7859237,-1.1966141,-1.4620177
-0.3959632,-0.7548751,-0.93635535
-3.9219978,-4.7692986,-5.654329
-3.0799758,-3.809572,-4.5295396
-4.5775857,-5.4927545,-6.571353
-6.2598176,-7.434581,-8.776084
-0.42963934,-0.79331285,-0.9812467
-2.0086973,-2.606635,-3.0670924
-3.5535781,-4.348144,-5.164329
-3.785073,-4.6010227,-5.492621
-0.34621692,-0.70169544,-0.8637912
0.5383189,0.063305624,0.03255406
-2.320442,-2.9419663,-3.5182347
-0.4109831,-0.8610427,-1.0493836
-4.47934,-5.417935,-6.375602
-1.57001,-2.085353,-2.518015
-3.064778,-3.786558,-4.5191197
-1.8465631,-2.4043705,-2.8808331
-0.075907096,-0.5359611,-0.666278
-1.8428838,-2.402985,-2.871043
-6.1994634,-7.347372,-8.727436
-4.3917203,-5.2992053,-6.291303
-0.19818161,-0.53351367,-0.66509306
-4.1764855,-5.0528097,-6.0056524
-1.2743871,-1.756993,-2.1082075
-0.5151007,-0.8901109,-1.0964664
-2.3099573,-2.9358568,-3.4940886
-5.7642817,-6.884894,-8.144427
-1.1945459,-1.6708392,-2.0071316
-0.62475383,-1.0194179,-1.2441332
-8.806322,-10.421016,-12.116363
-0.49778518,-0.87366486,-1.0751487
-3.0249953,-3.7540736,-4.4747276
-3.9727921,-4.8378277,-5.7436013
-1.4743758,-1.9905127,-2.3822746
-1.2923952,-1.7814378,-2.1403723
-2.612224,-3.2882833,-3.9113305
-3.7207456,-4.5540657,-5.3984303
-4.7374244,-5.7006135,-6.787364
-3.5340972,-4.3326826,-5.162433
-1.2395312,-1.7192878,-2.072569
-1.7315241,-2.283412,-2.728515
-0.44417724,-0.8182186,-0.99317795
-0.6123096,-1.0107962,-1.217696
-3.0322232,-3.7636538,-4.4821105
-3.6805272,-4.511113,-5.339296
-0.44914255,-0.8189678,-1.0084182
-1.3072168,-1.7976719,-2.1614587
-2.0272603,-2.6202703,-3.126702
-0.67189634,-1.0794965,-1.2964814
0.40307796,-0.033851095,-0.08160277
-2.8672957,-3.577334,-4.2573614
-5.2665114,-6.3269687,-7.45842
-3.0654368,-3.7994537,-4.530373
-0.71682584,-1.1273382,-1.362791
-0.25885388,-0.6045912,-0.7480736
-0.48583993,-0.86406004,-1.0520885
-3.2852988,-4.056637,-4.814633
-1.5145012,-2.0354128,-2.4377034
-2.941856,-3.6584954,-4.364318
0.06806746,-0.30414924,-0.4037255
-0.21791336,-0.5513168,-0.7045295
-2.408349,-3.0560663,-3.636816
-4.4055734,-5.3319063,-6.3243575
-8.041132,-9.498897,-11.174193
-1.6519986,-2.1926239,-2.6217966
-0.852689,-1.2867801,-1.5596743
-2.001814,-2.596958,-3.08255
-2.3681865,-3.0048432,-3.5922878
-3.9896903,-4.8579106,-5.7648973
-0.68127525,-1.0700616,-1.3441868
-0.63955367,-1.0349228,-1.2664188
-1.0774924,-1.520991,-1.878329
-6.1972117,-7.404264,-8.6815815
-1.6062757,-2.1371372,-2.5661726
-0.62195814,-1.002815,-1.2637652
-0.55923164,-0.9477993,-1.1506565
-5.1736274,-6.208242,-7.355898
-2.061602,-2.6584792,-3.174524
-0.3219771,-0.6767455,-0.8326218
-1.4120709,-1.915423,-2.3055713
-3.712253,-4.542566,-5.3901806
0.5372726,0.061422966,0.031169847
-3.1218219,-3.8683414,-4.598162
-2.2906013,-2.9183931,-3.4844716
-1.3442303,-1.8343667,-2.2208242
-6.2498527,-7.428477,-8.814788
0.5372726,0.061422966,0.031169847
-0.7197858,-1.1304392,-1.367248
-6.576856,-7.837171,-9.191919
-6.807777,-8.080507,-9.537176
-6.6270905,-7.9305,-9.31547
0.5381502,0.06108327,0.03218177
-0.96922576,-1.4250278,-1.7067326
-5.1884136,-6.2711353,-7.3897386
-0.38092995,-0.74579245,-0.9204906
-6.566681,-7.8646584,-9.227911
-6.2878304,-7.5290756,-8.879038
-0.9582664,-1.4016535,-1.7108124
-3.8373344,-4.714986,-5.577452
-1.4134295,-1.9307331,-2.3129134
-1.1735883,-1.6495463,-1.9998316
-3.1061013,-3.873397,-4.5954976
-4.106839,-5.0488334,-5.8980184
-5.555255,-6.6826468,-7.9010377
-3.492595,-4.310764,-5.1275334
-4.806944,-5.841448,-6.861136
-0.9226254,-1.3673954,-1.6511401
-3.0299919,-3.7835586,-4.49721
-4.5777283,-5.5622106,-6.580281
-2.4311035,-3.0933616,-3.6945958
-2.6469343,-3.3660848,-3.9419484
-4.483383,-5.4640203,-6.435433
-2.4806898,-3.153118,-3.7564912
-4.3970175,-5.3822093,-6.288731
-5.8852797,-7.065772,-8.338465
-3.1452334,-3.919266,-4.6465955
-0.12377179,-0.4537365,-0.5683266
-0.35474056,-0.70924854,-0.8965045
-0.4381504,-0.8102456,-0.999781
-2.0032365,-2.6053064,-3.1123662
-0.22205096,-0.5550641,-0.72088635
-0.38004637,-0.7425247,-0.9232358
-5.7401295,-6.912237,-8.119928
-0.09304196,-0.50724536,-0.6236545
0.5381502,0.06108327,0.03218177
-1.9495623,-2.544182,-3.0391526
-2.622011,-3.3140466,-3.9492726
-3.1852763,-3.955372,-4.7178006
-0.2767205,-0.64187616,-0.8015412
-0.6553433,-1.0440916,-1.3196105
-7.713504,-9.164382,-10.80319
-5.430915,-6.5637083,-7.691851
-3.5905979,-4.4312773,-5.2456536
-1.3737676,-1.8770827,-2.2736316
-0.934474,-1.3802768,-1.6683706
-2.4364846,-3.1029809,-3.6958375
-1.4648871,-1.9853321,-2.3900924
-2.1248934,-2.7501223,-3.2673535
-8.340481,-9.92749,-11.572634
-4.117304,-5.0174203,-5.9879804
-0.44248497,-0.8212282,-0.99513185
0.16193026,-0.21023573,-0.27926326
-0.8576659,-1.2921591,-1.5647343
-1.5902994,-2.1278703,-2.5616508
-1.9591236,-2.5532188,-3.055429
-2.1756554,-2.8040066,-3.3434482
-3.162731,-3.9432218,-4.663424
-3.7747939,-4.6277604,-5.5201
-0.5463456,-0.9383201,-1.1388711
-5.5882797,-6.724758,-7.9382195
-2.9368284,-3.6746252,-4.37509
-1.053197,-1.5171225,-1.827442
-2.981428,-3.733034,-4.4226174
-3.1565,-3.9302123,-4.665255
-4.05132,-4.9866505,-5.8815045
-0.4428104,-0.81888473,-1.0108547
-7.1243668,-8.554458,-9.997192
-3.4093845,-4.243806,-5.017515
-6.0275707,-7.2612677,-8.5627775
-1.8224996,-2.4167438,-2.8655508
-4.2215242,-5.1951733,-6.090441
-1.2601494,-1.7626854,-2.1144412
-0.18428132,-0.5181922,-0.6655516
-3.5204122,-4.3669453,-5.176254
-7.384548,-8.849561,-10.357787
-7.540844,-9.031106,-10.566962
-4.171176,-5.1261597,-6.0414047
-1.9493316,-2.5599847,-3.0424023
-1.9376816,-2.5441718,-3.0307837
-2.1944578,-2.840334,-3.3780866
