0,1,2
-0.1326115,-0.17009035,0.5327876
-0.28444588,-0.14111811,1.0248196
-0.17572688,-0.1618633,0.67250663
-0.18224071,-0.16062036,0.69361526
0.018340364,-0.33468616,-0.3447903
-0.46869433,-0.10596079,1.6218922
-0.38866723,-0.12123114,1.3625576
-0.4320928,-0.1129449,1.5032818
-0.413792,-0.11643696,1.4439766
-0.20441876,-0.15638846,0.7654851
-0.5155319,-0.09702349,1.7736733
-0.32973254,-0.13247675,1.1715748
-0.10857235,-0.17467737,0.45488673
-0.84711707,-0.033752143,2.848203
-0.5025042,-0.09950936,1.731456
-0.36850536,-0.12507832,1.2972214
-0.85270035,-0.03268677,2.866296
-0.47955072,-0.10388923,1.6570733
-0.3216678,-0.13401562,1.1454403
-0.022186503,-0.19116107,0.17494613
-0.22396027,-0.15265965,0.828811
0.006885439,-0.3512012,-0.35063505
0.06438499,-0.26259124,-0.2516117
0.0069675,-0.3497125,-0.35106403
0.0045215935,-0.34993804,-0.35734573
0.0009755045,-0.3573433,-0.35544837
0.04132338,-0.20327969,-0.030862987
0.0025925785,-0.3553859,-0.354101
0.0070482045,-0.19673948,0.0802086
0.0011467785,-0.3567418,-0.35584217
-0.03303641,-0.4003004,-0.3824827
-0.5567862,-0.08915156,1.9073613
-0.3464824,-0.12928063,1.2258542
0.06726503,-0.21610346,-0.13562751
-0.0027291328,-0.36015493,-0.3613833
-0.4265095,-0.114010274,1.4851887
-0.040099546,-0.187743,0.23299485
-0.22799264,-0.15189022,0.84187824
-0.17743288,-0.16153777,0.6780351
-0.20627986,-0.15603334,0.77151614
0.02286698,-0.33063766,-0.33904403
-0.02063559,-0.191457,0.16992027
0.016755119,-0.33845544,-0.3431647
0.005233869,-0.3538264,-0.3513741
0.053607423,-0.29011595,-0.29572377
-0.53445303,-0.093413055,1.8349888
-0.0065544024,-0.367652,-0.36144376
0.018135697,-0.33588022,-0.3430239
-0.0578575,-0.18435451,0.290541
0.01702328,-0.33822668,-0.3428995
-0.02688171,-0.39130953,-0.37736943
-0.30864012,-0.13650149,1.1032231
-0.28692734,-0.14064461,1.032861
0.0048769265,-0.19632517,0.08724481
-0.3517555,-0.12827444,1.2429421
-0.5257679,-0.0950703,1.806844
-0.16595612,-0.1637277,0.6408437
-0.11632691,-0.17319769,0.48001605
0.015044317,-0.33926967,-0.34623858
0.04786212,-0.29336637,-0.29439884
0.024476476,-0.32912165,-0.3374178
