0,1,2,3,4,5,6,7,8,9,10,11
68.730675,-96.26382,-102.37071,87.29336,92.648766,-91.07133,116.12551,117.790794,-96.01754,-108.73688,-100.958694,-82.42772
58.44019,-81.89104,-87.015144,74.23893,78.8136,-77.44526,98.798775,100.16803,-81.651924,-92.490715,-85.84777,-69.961044
66.25376,-92.82349,-98.6202,84.11763,89.304474,-87.79561,111.950386,113.461105,-92.46436,-104.81839,-97.321945,-79.36822
48.99041,-68.545074,-72.864174,62.17853,65.98155,-64.88534,82.7723,83.880104,-68.42853,-77.55057,-72.01356,-58.779617
17.866386,-24.928732,-26.348753,22.645926,24.022072,-23.588436,30.251804,30.475584,-24.783728,-28.32613,-26.318327,-21.434483
56.919086,-79.822,-84.174,71.61813,76.4147,-74.593285,95.23006,96.944405,-78.68381,-89.71001,-83.176636,-67.6564
40.50935,-56.863434,-59.801003,50.945,54.380657,-52.97098,67.7159,68.99629,-55.818382,-63.919502,-59.27206,-48.065025
48.024952,-67.43206,-70.98003,60.44841,64.507355,-62.908844,80.340965,81.80219,-66.29564,-75.76077,-70.27441,-57.04865
60.052395,-84.17965,-88.87701,75.72585,80.64456,-78.930275,100.720985,102.35068,-83.17383,-94.665726,-87.83049,-71.561646
30.438261,-42.589035,-44.761204,38.18138,40.716434,-39.644714,50.82084,51.68352,-41.827633,-47.86805,-44.460373,-35.996124
67.88028,-95.135056,-100.44423,85.45984,91.10667,-89.04411,113.5649,115.649414,-93.89527,-106.92326,-99.21659,-80.724205
50.63745,-70.94475,-74.80116,63.676598,67.9247,-66.335526,84.725334,86.18726,-69.90218,-79.7472,-74.01814,-60.20414
30.657806,-42.807354,-45.302036,38.676067,41.113926,-40.227882,51.43867,52.196854,-42.42438,-48.30631,-44.864414,-36.44311
111.078835,-155.83487,-164.80324,140.19257,149.36491,-146.21434,186.374,189.52081,-154.08414,-175.17046,-162.47838,-132.54755
84.97239,-119.424706,-126.61459,107.796326,114.68875,-112.348404,143.29662,145.71451,-118.75902,-134.38611,-124.59136,-101.39546
58.29162,-81.54023,-86.39262,73.603004,78.282455,-76.72444,97.87237,99.386284,-80.86092,-91.87437,-85.29823,-69.4709
97.3717,-136.69035,-144.25987,122.69143,130.8173,-127.89313,163.13762,166.02277,-134.79407,-153.4757,-142.41699,-115.93717
61.654613,-86.40871,-91.40344,77.81458,82.898834,-81.12261,103.45356,105.19205,-85.55282,-97.24548,-90.196266,-73.49877
36.11949,-50.64466,-53.345036,45.42209,48.483486,-47.231976,60.42418,61.487633,-49.96317,-56.894527,-52.750523,-42.78616
36.56848,-51.35197,-54.4263,46.4675,49.34135,-48.29596,61.921204,62.76195,-51.106743,-57.919186,-53.756466,-43.622276
35.071247,-49.13532,-51.784725,44.114975,47.07399,-45.919167,58.66948,59.69618,-48.43157,-55.282223,-51.239166,-41.66818
31.40351,-43.973186,-46.652786,39.872097,42.35713,-41.619137,53.12706,53.792305,-43.821022,-49.799515,-46.195976,-37.716793
24.589767,-34.34862,-36.454147,31.221664,33.112103,-32.53219,41.59404,42.02069,-34.24611,-38.922115,-36.151974,-29.382181
16.732956,-23.310846,-24.753397,21.246246,22.532738,-22.08646,28.295082,28.600632,-23.263409,-26.518665,-24.622747,-19.959757
6.2989993,-8.528889,-8.984386,7.8750243,8.260307,-8.1182995,10.529148,10.501918,-8.502325,-9.89469,-9.2235985,-7.466419
16.27547,-22.709412,-24.007673,20.649853,21.93304,-21.398468,27.50516,27.757954,-22.524794,-25.777142,-23.962605,-19.41977
19.662443,-27.37094,-29.091545,24.899027,26.4043,-25.911066,33.10976,33.559845,-27.283337,-31.056755,-28.853537,-23.473408
13.515823,-18.851027,-19.983805,17.179394,18.188408,-17.752287,22.886467,23.087389,-18.819952,-21.369177,-19.870144,-16.015589
25.35646,-35.371532,-37.539406,32.08536,34.104282,-33.40048,42.69797,43.29419,-35.240124,-40.08061,-37.20297,-30.242018
22.204823,-31.07913,-32.860363,28.188923,29.889748,-29.322664,37.613247,37.95355,-30.890581,-35.202835,-32.682606,-26.549309
29.794956,-41.519966,-44.18373,37.803562,40.101517,-39.428093,50.34151,50.958973,-41.487972,-47.16177,-43.794224,-35.788
59.449387,-83.42452,-87.849915,74.80906,79.80636,-77.92134,99.42197,101.19404,-82.081,-93.69446,-86.89915,-70.644775
44.27195,-62.17286,-65.37726,55.694016,59.40693,-57.922905,73.991646,75.38543,-61.12655,-69.81739,-64.72843,-52.43269
21.806782,-30.394688,-32.24734,27.582409,29.274302,-28.67296,36.6629,37.20162,-30.313364,-34.418194,-31.93184,-25.82629
11.217926,-15.516866,-16.425398,14.164152,15.013934,-14.712798,18.925417,19.019974,-15.430719,-17.754885,-16.540548,-13.429461
71.89513,-100.954735,-106.98957,91.03476,96.89615,-94.92308,121.04467,123.07312,-100.17443,-113.62667,-105.43465,-85.73165
41.03915,-57.482937,-61.011303,52.146736,55.29626,-54.19926,69.36048,70.35672,-57.289185,-64.919556,-60.258606,-48.891113
41.35839,-58.070045,-61.36526,52.262783,55.650715,-54.3841,69.54119,70.68817,-57.51444,-65.3005,-60.556942,-49.06427
27.208954,-38.123783,-40.11628,34.254436,36.499454,-35.570854,45.58154,46.330647,-37.507282,-42.925217,-39.840656,-32.25819
50.491295,-70.701546,-74.797134,63.741997,67.81155,-66.50328,84.7467,86.04338,-70.02724,-79.619736,-73.82592,-60.35518
17.68254,-24.543777,-25.962452,22.309786,23.626303,-23.1915,29.757727,29.974287,-24.400675,-27.825487,-25.903872,-21.065851
24.332365,-34.232155,-36.24258,30.991444,32.973545,-32.132076,41.194977,41.82653,-34.070477,-38.642975,-35.794117,-28.974182
23.342117,-32.557205,-34.589725,29.621256,31.384516,-30.825386,39.452858,39.87911,-32.51126,-36.96204,-34.343464,-27.901115
36.930363,-51.65896,-54.90719,46.89429,49.76827,-48.926544,62.46576,63.2516,-51.55581,-58.531635,-54.33106,-44.293484
20.780483,-29.001226,-30.744438,26.329685,27.941048,-27.500694,35.101494,35.519463,-28.964598,-32.95081,-30.542,-24.873005
74.21469,-103.998856,-110.06932,93.792336,99.76406,-97.76112,124.66435,126.676476,-103.09948,-117.05341,-108.586174,-88.43332
26.66223,-37.286697,-39.649975,33.889877,36.007835,-35.37264,45.26897,45.784477,-37.257,-42.36636,-39.320198,-32.139366
