0,1,2,3,4,5,6,7,8,9,10,11
28.718645,-15.820584,-25.494234,39.839046,32.531567,-32.437515,41.55831,40.237827,-32.615204,-41.117294,-32.616108,-21.995306
24.567284,-13.143425,-21.664663,34.070374,27.598673,-27.769077,35.272728,34.041855,-27.800867,-35.00874,-27.775442,-18.712729
29.373648,-16.09186,-26.07704,40.794155,33.227978,-33.314075,42.58892,41.135437,-33.31432,-42.031143,-33.466866,-22.586287
1.6716602,-0.5695274,-1.2981048,2.3121593,1.815214,-1.7720865,2.4435122,2.076059,-1.7958795,-2.4896197,-2.0488768,-1.1614226
34.387283,-18.826157,-30.336794,47.40362,38.69388,-38.690376,49.306213,47.72982,-38.86172,-48.93278,-38.73489,-26.261913
39.15284,-21.392197,-34.467983,53.671314,43.779102,-43.799786,55.774242,54.098625,-44.048794,-55.413727,-43.860794,-29.759893
9.124154,-4.7434716,-8.010445,12.739658,10.222145,-10.323041,13.150192,12.631658,-10.24161,-13.0870495,-10.461998,-6.9832673
26.047728,-14.079326,-22.969263,35.94569,29.159084,-29.304987,37.236008,35.987793,-29.337528,-37.02555,-29.364918,-19.799244
38.935265,-21.256222,-34.116077,53.19048,43.33156,-43.38213,55.211353,53.575226,-43.585266,-54.85862,-43.49342,-29.471302
68.28177,-37.60865,-60.004623,93.222916,76.11819,-76.02474,96.91824,94.19457,-76.574524,-96.192024,-76.203865,-51.677746
74.15701,-40.869583,-65.33388,101.43304,82.84169,-82.756996,105.38492,102.475105,-83.32781,-104.64234,-82.84961,-56.21432
39.222713,-21.499777,-34.448284,53.620678,43.742435,-43.729126,55.73917,54.079212,-43.94791,-55.31814,-43.87013,-29.759216
33.71244,-18.274206,-29.761135,46.38789,37.692745,-37.816128,48.10457,46.594524,-37.96557,-47.74423,-37.846348,-25.620445
27.28534,-14.8665,-24.109076,37.72669,30.646013,-30.730225,39.115368,37.844387,-30.828485,-38.81391,-30.79431,-20.788654
35.333176,-19.455513,-31.165459,48.53797,39.6701,-39.638145,50.640396,49.12056,-39.836308,-50.157845,-39.775444,-27.030064
61.491135,-33.93355,-53.864437,83.64445,68.36957,-68.14402,87.03196,84.610085,-68.66575,-86.35017,-68.45169,-46.498535
114.73768,-64.09693,-100.35774,155.59769,127.76969,-126.79448,162.65091,158.27954,-127.9576,-161.0434,-127.62614,-86.91075
47.790318,-26.239159,-42.066795,65.37469,53.39926,-53.30455,67.93425,66.02317,-53.73986,-67.46745,-53.398094,-36.235497
60.557987,-33.552437,-53.128353,82.53783,67.62425,-67.28563,85.96217,83.57703,-68.03148,-85.40012,-67.466064,-45.734447
21.42032,-11.694914,-18.775118,29.419579,23.968128,-23.91457,30.581856,29.599865,-24.134195,-30.405632,-24.056278,-16.116909
20.767172,-11.276005,-18.276165,28.55547,23.213993,-23.206985,29.579771,28.66033,-23.362925,-29.426208,-23.328974,-15.713947
6.392049,-3.300897,-5.506085,8.852035,7.1690507,-7.173246,9.222302,8.761464,-7.1156087,-9.185995,-7.336838,-4.8774977
19.201902,-10.236413,-16.867744,26.548473,21.45637,-21.632166,27.464642,26.425093,-21.640629,-27.338303,-21.68907,-14.520789
20.513842,-11.592549,-18.164764,28.312902,23.408838,-22.990768,29.996061,29.024698,-23.278448,-29.42589,-23.38177,-15.777314
30.293863,-16.98616,-26.781954,41.823814,34.27737,-33.986824,44.05166,42.511154,-34.051666,-43.215057,-34.53827,-23.328749
33.930637,-19.437134,-29.962366,46.45658,38.571667,-37.731453,49.246243,47.80251,-38.46275,-48.391365,-38.38267,-25.84033
27.254421,-14.70549,-23.934906,37.289986,30.339752,-30.428034,38.604908,37.420753,-30.586813,-38.487476,-30.42352,-20.55043
29.988981,-17.38655,-26.447643,40.876133,34.12897,-33.1627,43.60556,42.40327,-34.02642,-42.709965,-33.886497,-22.69212
70.38718,-39.284966,-62.0441,96.36628,79.04746,-78.54588,101.027504,98.102684,-79.03063,-99.613754,-79.155754,-53.8676
