0,1,2
-5.552253,-5.997231,-3.238674
-8.3945675,-8.902037,-4.7522306
-6.530515,-7.0049415,-3.759279
-18.755941,-19.436337,-10.286078
-7.9120903,-8.41111,-4.496197
-4.7159047,-5.1253986,-2.7924516
-7.397431,-7.850921,-4.2255874
-10.757391,-11.264664,-6.020558
-7.2399864,-7.685064,-4.1412964
-4.1982074,-4.600896,-2.5207245
-5.969968,-6.402487,-3.4623976
-13.390226,-13.975548,-7.422709
-6.060437,-6.505406,-3.5123272
-4.960765,-5.382341,-2.9231808
-16.311197,-16.95647,-8.983455
-9.960992,-10.4789505,-5.592508
-6.0898566,-6.537367,-3.525745
-9.876464,-10.386992,-5.5522895
-8.335185,-8.810813,-4.7250037
-3.269874,-3.67045,-2.0329318
-5.9230685,-6.3499446,-3.4388473
-8.311207,-8.764397,-4.7188787
-6.6529045,-7.1162553,-3.8265095
-3.6963181,-4.0829544,-2.2548134
-8.087472,-8.589868,-4.595411
-5.6054235,-6.0136185,-3.2866337
-11.862566,-12.407692,-6.6092052
-5.428155,-5.8283334,-3.1907568
-3.9952157,-4.403401,-2.4093893
-5.644649,-6.0899487,-3.2888486
-8.923575,-9.45235,-5.0353665
-6.045,-6.4769397,-3.5054584
-10.549696,-11.075659,-5.907729
-8.712969,-9.208225,-4.925837
-6.7524953,-7.2159996,-3.8826673
-15.610217,-16.21115,-8.609771
-5.68513,-6.1241536,-3.3122082
-9.485016,-10.001087,-5.3402166
-5.022651,-5.4495916,-2.9572275
-5.4565325,-5.8908553,-3.190633
-6.4518733,-6.9239473,-3.7171519
-2.7036781,-3.0751195,-1.7241311
-7.602665,-8.088735,-4.3337026
-8.421277,-8.93756,-4.7671285
-9.098373,-9.623159,-5.1300654
-15.983955,-16.556704,-8.812064
-6.380741,-6.8588624,-3.6761622
-8.032426,-8.50903,-4.567462
-8.595809,-9.073745,-4.863306
-7.7597985,-8.214218,-4.4251685
-4.898827,-5.2995214,-2.905567
-6.622366,-7.0759377,-3.8089328
-7.7517824,-8.228887,-4.4197326
-5.596771,-6.036071,-3.2618968
-6.71728,-7.1655493,-3.875059
-15.254407,-15.852916,-8.421383
-16.260365,-16.849455,-8.958162
-3.3006856,-3.712731,-2.045976
-8.307935,-8.812047,-4.705625
-6.572596,-7.0406666,-3.7795012
-6.953465,-7.4361014,-3.9822204
-8.4931965,-9.000582,-4.805633
-11.812013,-12.330796,-6.5831313
-4.0919137,-4.4899316,-2.463176
-5.8601356,-6.301791,-3.4013126
-6.04325,-6.4834228,-3.4997394
-5.9538813,-6.4076476,-3.4539018
-8.195766,-8.710086,-4.6429586
-9.435805,-9.950505,-5.312617
-9.899875,-10.441731,-5.55519
-16.132193,-16.719215,-8.888928
-5.0593505,-5.4736624,-2.9753263
-6.120196,-6.5497203,-3.5433667
-4.898066,-5.327641,-2.8904302
-7.4202824,-7.899362,-4.237171
-16.869337,-17.476223,-9.283028
-5.027504,-5.4601946,-2.9593105
-10.508682,-10.995026,-5.892412
-8.697657,-9.20228,-4.9182925
-6.84029,-7.2840357,-3.932972
-4.8140182,-5.235793,-2.8522024
-10.533131,-11.033454,-5.901311
-3.783982,-4.1776104,-2.2989962
-5.6022944,-6.0368767,-3.265829
-5.2503796,-5.6779885,-3.088344
-6.1239343,-6.6024404,-3.5399063
-13.242928,-13.824485,-7.344079
-7.382962,-7.8765903,-4.212324
-4.8849587,-5.300065,-2.8920825
-5.0598984,-5.465365,-2.991875
-6.636829,-7.0835705,-3.821027
-10.770502,-11.294418,-6.026619
-5.757974,-6.1869907,-3.3610985
-8.194832,-8.671209,-4.652036
-9.010547,-9.53966,-5.0819187
-5.692162,-6.1368294,-3.3172123
-8.568731,-9.047689,-4.8514185
-5.4935737,-5.948306,-3.203442
-6.994293,-7.466483,-4.0104456
-8.423553,-8.937952,-4.7693443
-5.911533,-6.3737993,-3.4284132
-7.156967,-7.6266193,-4.099809
-8.736941,-9.249869,-4.939711
-5.842853,-6.2947574,-3.3940299
-7.882823,-8.38161,-4.481294
-8.184125,-8.701739,-4.6420083
-28.471046,-29.297672,-15.474504
-8.066304,-8.567449,-4.5783734
-8.533476,-9.0246,-4.830365
-3.2787428,-3.6671336,-2.035042
-7.884607,-8.385215,-4.4801426
-4.7564373,-5.1508956,-2.8292465
-5.7010055,-6.141105,-3.327366
-8.344158,-8.858351,-4.7269
-8.417626,-8.9206705,-4.7726626
-9.244207,-9.760206,-5.208787
-5.7251105,-6.158686,-3.3304718
-8.714073,-9.225393,-4.9241214
-11.206993,-11.736923,-6.2601395
-7.3839655,-7.874497,-4.216991
-6.8502746,-7.302927,-3.934592
-9.610501,-10.152032,-5.399965
-8.09127,-8.593655,-4.5920343
-5.269748,-5.6614795,-3.105615
-8.685309,-9.206086,-4.9069133
-6.422308,-6.881969,-3.703711
-9.118368,-9.638292,-5.1412125
-11.476646,-11.985686,-6.4040003
-11.320848,-11.816136,-6.319786
-9.03834,-9.552424,-5.095662
-7.6535196,-8.142886,-4.356614
-4.7412367,-5.1506715,-2.810131
-7.14233,-7.6278834,-4.089249
-8.738051,-9.261053,-4.934315
-5.5967956,-6.044713,-3.2588227
-6.0623627,-6.510397,-3.509122
-11.182706,-11.697155,-6.247043
-4.789167,-5.2026663,-2.8337696
-5.76193,-6.1952558,-3.356727
-9.189244,-9.721317,-5.1788955
-7.6323857,-8.093883,-4.3524675
-8.0720415,-8.552461,-4.5844493
-15.106949,-15.676104,-8.341724
-6.1221437,-6.540519,-3.558988
-4.699721,-5.101447,-2.7970724
-8.573889,-9.094061,-4.8478065
-9.111299,-9.639131,-5.1341157
-8.043177,-8.539471,-4.57047
-4.6289315,-5.0358677,-2.75025
-9.540815,-10.074009,-5.364518
-4.7687335,-5.1746836,-2.8330877
-14.207288,-14.756578,-7.8658414
-9.62377,-10.172716,-5.409164
-6.424114,-6.8675237,-3.7115612
-3.7098074,-4.1097937,-2.26747
-7.142332,-7.623615,-4.0891075
-4.5558376,-4.9548335,-2.7248442
-5.9261265,-6.3437943,-3.452599
-8.437018,-8.954943,-4.776179
-7.632262,-8.115626,-4.347236
-7.571709,-8.031402,-4.318921
-10.25005,-10.778658,-5.7449837
-9.456224,-9.958926,-5.324136
-17.18743,-17.780928,-9.453189
-9.673519,-10.208387,-5.434062
-7.3133645,-7.788788,-4.1769547
-4.380872,-4.7946477,-2.6124046
-4.570116,-4.9874434,-2.7185128
-8.786383,-9.308118,-4.9631233
-8.20332,-8.70751,-4.649457
-8.652567,-9.1362,-4.898512
-8.251663,-8.744556,-4.6954403
-6.620035,-7.06462,-3.81218
-7.3305497,-7.8121896,-4.2003016
-11.203293,-11.713846,-6.255214
-9.587767,-10.103024,-5.3938427
-7.3789597,-7.8669186,-4.2253885
-5.5237985,-5.9796143,-3.2200685
-6.6557913,-7.118509,-3.826872
-8.265178,-8.768004,-4.683847
-5.2912836,-5.68942,-3.114287
-7.2558126,-7.738814,-4.1485324
-8.290215,-8.800262,-4.6971064
-3.9463544,-4.3466606,-2.3846796
-6.0185356,-6.4709682,-3.4957075
-8.890966,-9.395713,-5.021243
-4.3860264,-4.8008904,-2.6225383
-9.816058,-10.361285,-5.5100574
-6.201111,-6.646464,-3.5847363
-7.1100736,-7.5908813,-4.0694895
-15.727033,-16.303474,-8.669805
-8.052768,-8.555495,-4.568826
-7.668666,-8.168488,-4.365796
-14.116387,-14.676299,-7.816853
-3.0390923,-3.4257107,-1.8995095
-8.870261,-9.38796,-5.0074153
-8.4567375,-8.9610615,-4.789653
-5.9315724,-6.39209,-3.4425795
-7.775028,-8.226749,-4.4288898
-7.791155,-8.280239,-4.4505877
-7.436004,-7.9290104,-4.24219
-8.409092,-8.915627,-4.7621303
-7.9202147,-8.382232,-4.5094347
-7.0165267,-7.4741397,-4.0221553
-6.462033,-6.9139075,-3.7255797
-2.8532684,-3.2441864,-1.7986333
-8.246434,-8.768027,-4.6700273
-4.609395,-5.025218,-2.7371752
-5.296286,-5.718954,-3.1029897
-20.270956,-20.940168,-11.098687
-9.4883375,-9.976228,-5.344337
-6.860468,-7.3241134,-3.9458704
-15.220143,-15.782525,-8.4026375
-6.2826886,-6.742686,-3.626256
-7.6202025,-8.110633,-4.341692
-4.145147,-4.5607786,-2.4882543
-6.079791,-6.5437474,-3.5175478
-2.9351168,-3.3069737,-1.851597
-5.2097926,-5.615852,-3.0746093
-7.0253253,-7.498212,-4.026677
-5.2450714,-5.6801534,-3.0731637
-2.7360833,-3.1078088,-1.7423861
-5.87712,-6.3203487,-3.422569
-5.743654,-6.176774,-3.3395886
-5.4809504,-5.92831,-3.2016494
-9.456848,-9.972251,-5.323147
-6.884148,-7.349885,-3.9488106
-14.049273,-14.642771,-7.772134
-5.879025,-6.3188457,-3.4152308
-7.8251295,-8.330457,-4.4500833
-8.220045,-8.7188,-4.666196
-7.6991735,-8.191433,-4.4002423
-9.62967,-10.174941,-5.4159846
-5.284339,-5.718161,-3.0977337
-6.028921,-6.470277,-3.495313
-3.8037312,-4.199729,-2.3064246
-8.360375,-8.856252,-4.7380276
-6.2793984,-6.7066765,-3.6332474
-8.898445,-9.41747,-5.021243
-7.7232037,-8.215734,-4.3959994
-5.448775,-5.878272,-3.1846035
-6.933842,-7.4311295,-3.9694028
-4.903901,-5.2987695,-2.9078362
-4.6821713,-5.0774026,-2.7853718
-6.72453,-7.1958723,-3.8640187
-4.717693,-5.143121,-2.8023708
-9.6613,-10.166961,-5.4344134
