0,1,2,3,4,5,6,7,8,9,10,11
10.906296,7.651574,-13.747274,-12.59076,8.692829,8.10686,-15.372556,3.23402,-7.0678053,7.08221,-8.664815,8.565497
6.454313,4.4550724,-8.187711,-7.461134,5.066183,4.732368,-9.110902,1.9228951,-4.152121,4.0983815,-5.025417,5.0331783
4.018149,2.8624098,-5.218345,-4.8296022,3.2470746,3.0388112,-5.7747,1.1797526,-2.6386933,2.6142602,-3.328995,3.2087104
7.736168,5.4375277,-9.840598,-8.943277,6.1498537,5.689801,-10.91451,2.291261,-4.9944024,4.914681,-6.129911,6.0535536
11.722203,7.957891,-14.867198,-13.3912735,9.214227,8.442334,-16.470417,3.441892,-7.519513,7.315076,-9.121414,9.145569
68.16964,47.298363,-85.83918,-77.788826,54.27003,50.262966,-95.92013,19.939146,-44.186787,43.403538,-53.60797,53.24695
14.534661,10.127324,-18.320772,-16.617552,11.591218,10.67173,-20.403807,4.2894597,-9.351168,9.2934,-11.48728,11.334309
4.0804744,2.8047807,-5.1811376,-4.701456,3.2313547,2.9525528,-5.7006927,1.2208463,-2.5636888,2.5821874,-3.217305,3.1552742
7.225368,5.068591,-9.225036,-8.432759,5.74454,5.3617306,-10.275988,2.164056,-4.727673,4.632137,-5.8032603,5.7211585
10.953551,7.6831675,-13.908276,-12.679117,8.739659,8.138826,-15.490323,3.2198756,-7.1211877,7.020097,-8.716638,8.651086
7.4873624,5.2295885,-9.520484,-8.692044,5.973481,5.5822916,-10.586503,2.212424,-4.854853,4.845464,-6.0002613,5.8939548
2.335591,1.6478693,-3.030504,-2.8131275,1.856413,1.7396629,-3.3288746,0.67463547,-1.5494885,1.5032598,-1.9595846,1.8856508
5.7959,4.0414944,-7.3555355,-6.71991,4.6417184,4.3162813,-8.182818,1.6946671,-3.7705498,3.6889944,-4.6915736,4.589271
11.178622,7.9053183,-14.157005,-12.977652,8.9663725,8.316664,-15.795572,3.2016737,-7.249835,7.205325,-9.055145,8.866961
30.67295,20.994753,-38.799736,-34.893562,24.223125,22.315603,-43.110237,8.9973345,-19.737608,19.20828,-23.730793,23.819557
4.5879583,3.1521065,-5.7700405,-5.2812657,3.5473022,3.3058498,-6.4132996,1.3242434,-2.9169087,2.8549635,-3.5515385,3.5690994
4.7679443,3.3737051,-6.1380234,-5.651602,3.8461628,3.5754702,-6.816092,1.452145,-3.1334105,3.1259446,-3.8899753,3.7836988
11.476613,8.074205,-14.558971,-13.304856,9.218322,8.543852,-16.230343,3.4042015,-7.4546347,7.4123645,-9.257429,9.052158
14.865377,10.07219,-18.64769,-16.799194,11.628424,10.749672,-20.820232,4.4214826,-9.515957,9.316071,-11.325142,11.508143
12.742406,8.830181,-16.21801,-14.7339735,10.088209,9.3831625,-18.007885,3.6910312,-8.334881,8.0426655,-10.045323,10.019924
3.2704952,2.3336895,-4.1970305,-3.876993,2.620611,2.4507275,-4.6977735,0.98571223,-2.135212,2.1697376,-2.6713226,2.6180093
18.137362,12.274458,-22.906145,-20.665812,14.194585,13.084644,-25.421711,5.2591796,-11.653547,11.265808,-14.019117,14.06181
5.003836,3.4995997,-6.425955,-5.8842745,3.9801974,3.7321486,-7.108596,1.4624357,-3.270074,3.19416,-4.015934,3.9509149
43.215706,29.548534,-54.68728,-49.268486,34.158337,31.429632,-60.744225,12.615245,-27.855082,27.04043,-33.57168,33.637363
5.82258,4.0174623,-7.307425,-6.6634507,4.5603848,4.23348,-8.176395,1.6890782,-3.76872,3.674647,-4.5379415,4.5685225
13.751563,9.286537,-17.374996,-15.659402,10.694732,9.887852,-19.366737,4.0497046,-8.850962,8.574359,-10.532436,10.710961
12.96499,8.982074,-16.390636,-14.884976,10.274762,9.506555,-18.283192,3.8021793,-8.408073,8.244924,-10.188456,10.134713
10.205935,7.2446,-12.910657,-11.86562,8.208141,7.677849,-14.468047,2.9978144,-6.6400447,6.6766524,-8.282855,8.090377
9.378832,7.216234,-11.522261,-10.930472,7.9793067,7.6685457,-12.673512,4.161893,-6.981731,6.966597,-8.216616,7.8906455
52.942844,40.27912,-64.530624,-60.454918,45.05408,42.765327,-70.62061,22.954538,-39.01288,38.72901,-45.48721,44.142845
18.075886,13.589927,-22.116163,-20.662046,15.205437,14.415541,-24.075844,7.800828,-13.252333,13.038986,-15.339091,15.036737
58.751755,44.67157,-71.64871,-67.074524,49.958683,47.32198,-78.352715,25.52462,-43.246326,42.97991,-50.38421,48.938942
23.364248,17.686651,-28.631704,-26.772837,19.78212,18.765453,-31.2282,10.141268,-17.262882,16.96148,-20.071259,19.529772
15.434934,11.80285,-18.97209,-17.785599,13.075858,12.449143,-20.65699,6.7149725,-11.4397955,11.265648,-13.325,12.945435
29.328989,22.177883,-35.939896,-33.5349,24.75987,23.479115,-39.128006,12.678334,-21.649895,21.163479,-24.988169,24.473108
40.1522,30.02797,-48.99967,-45.5021,33.77188,31.86645,-53.316547,17.300764,-29.346222,28.754795,-33.804375,33.269665
34.43528,25.863655,-42.012665,-39.077526,28.9321,27.342949,-45.809227,14.901583,-25.24385,24.734299,-29.01566,28.477297
15.502463,11.799733,-19.008417,-17.88167,13.200537,12.499409,-20.761898,6.8287406,-11.437065,11.43323,-13.404443,12.998378
48.550682,37.064392,-59.389732,-55.622616,41.3073,39.118664,-64.78979,20.967176,-35.824215,35.432438,-41.789696,40.5429
33.441174,25.062157,-40.887962,-38.038246,28.118969,26.571892,-44.546734,14.467427,-24.522642,24.047094,-28.322598,27.795105
31.39207,23.777843,-38.22163,-35.777454,26.540504,25.21875,-41.843594,13.64062,-23.063042,22.878372,-26.78109,26.112707
41.764744,31.731075,-51.057697,-47.75848,35.44849,33.652325,-55.863266,18.172306,-30.81527,30.472067,-35.805305,34.855183
25.138296,19.052364,-30.711044,-28.784615,21.317865,20.18232,-33.496822,10.889211,-18.471874,18.331144,-21.56279,20.947973
26.438816,20.075642,-32.377586,-30.281466,22.457453,21.261246,-35.263752,11.407716,-19.49355,19.190262,-22.680902,22.072254
33.20222,25.120104,-40.64606,-37.916653,28.154818,26.662853,-44.37227,14.452245,-24.469292,24.115887,-28.389479,27.678688
73.156654,54.688396,-89.18629,-82.91943,61.535244,58.162605,-97.315346,31.641294,-53.578358,52.561115,-61.60186,60.668118
15.743061,12.036781,-19.379362,-18.194992,13.374405,12.693815,-21.095123,6.8957705,-11.6312065,11.5097,-13.632869,13.155134
170.61995,128.42253,-207.95403,-194.04422,144.06172,136.5609,-227.17088,73.87484,-125.323746,123.48991,-144.6517,141.6902
69.5032,52.153114,-84.86337,-79.0086,58.54288,55.38599,-92.64602,30.118387,-50.99737,50.105335,-58.792393,57.73572
18.641603,14.2073965,-22.836395,-21.407923,15.839588,15.021531,-24.923744,8.097617,-13.751949,13.617358,-16.067867,15.630667
40.80592,31.052254,-49.939697,-46.749355,34.72086,32.88425,-54.452,17.677935,-30.046463,29.805447,-35.089844,34.1293
22.509422,16.992882,-27.600298,-25.781485,19.026863,18.04472,-30.068008,9.7875595,-16.605415,16.29651,-19.179623,18.709505
23.109411,17.459854,-28.272839,-26.440874,19.545437,18.490568,-30.791122,10.005044,-16.956089,16.730228,-19.721645,19.191742
39.172276,29.664347,-47.83467,-44.647903,33.24737,31.371498,-52.159973,17.012066,-28.716019,28.504757,-33.509666,32.535908
24.869686,18.895462,-30.470953,-28.520487,21.099422,19.990479,-33.235638,10.813733,-18.301144,18.172123,-21.347252,20.74954
10.846858,8.199928,-13.225018,-12.429951,9.147541,8.712332,-14.474524,4.7244306,-7.945015,7.8947883,-9.272571,9.078905
26.770403,20.437725,-32.451424,-30.425955,22.801588,21.646778,-35.193516,12.498038,-20.178352,19.821987,-23.014263,22.562716
35.592766,27.494106,-43.02505,-40.48971,30.609049,29.132116,-46.805256,16.631985,-26.94301,26.680605,-31.014616,30.1214
45.545933,35.244377,-55.27974,-51.930428,39.159946,37.19211,-59.955666,21.248112,-34.52628,33.965538,-39.661022,38.568016
21.755068,16.88882,-26.419415,-24.9569,18.753546,17.86174,-28.76398,10.256895,-16.489595,16.382952,-19.03471,18.420198
16.035542,12.373169,-19.471325,-18.29939,13.714069,12.990132,-21.051313,7.4830976,-12.108167,11.907183,-13.899122,13.51113
75.74463,58.495846,-91.68883,-86.1555,65.08382,61.78872,-99.46312,35.262768,-57.221367,56.4047,-65.76065,63.996662
19.909224,15.359089,-24.123663,-22.717634,17.096308,16.30665,-26.206223,9.284863,-15.066974,14.867265,-17.295881,16.846415
24.463127,19.049173,-29.723248,-28.044815,21.15672,20.127398,-32.265347,11.485047,-18.55733,18.410025,-21.53134,20.765913
61.866657,47.96659,-74.69949,-70.396286,53.312748,50.739227,-81.291595,28.914146,-46.80959,46.441906,-53.959072,52.31402
24.951618,19.31831,-30.167587,-28.426744,21.520905,20.41473,-32.76064,11.631892,-18.8332,18.739777,-21.778479,21.100882
22.320246,17.1033,-27.02613,-25.329988,18.930338,18.04477,-29.323578,10.402413,-16.832472,16.425833,-19.054491,18.706427
27.42469,21.29205,-33.22666,-31.446627,23.650072,22.543621,-36.124126,12.850232,-20.75653,20.691309,-24.057203,23.25717
66.69491,51.599384,-80.61238,-75.81184,57.297035,54.41691,-87.56102,31.071829,-50.36808,49.821636,-57.92924,56.378723
24.203539,18.654736,-29.345535,-27.596983,20.736603,19.710203,-31.842415,11.275151,-18.345572,18.052181,-21.006536,20.448395
87.246796,67.572266,-105.44134,-99.234665,75.1887,71.413345,-114.643555,40.674366,-65.99936,65.33179,-75.975975,73.76793
69.39784,53.24386,-83.932526,-78.59501,59.306385,56.25325,-90.99284,32.272465,-52.318035,51.353973,-59.72679,58.47064
36.970013,28.177277,-44.746414,-41.867947,31.485035,29.799473,-48.469975,17.169067,-27.793173,27.207909,-31.69958,31.049559
15.825151,12.224709,-19.242748,-18.188963,13.6224165,12.960422,-20.86389,7.4199557,-11.977973,11.910093,-13.87412,13.419877
25.987219,20.107588,-31.51587,-29.727913,22.32538,21.297247,-34.22956,12.167595,-19.688837,19.504114,-22.69681,22.069067
44.17431,34.285126,-53.44302,-50.43805,38.127064,36.248947,-58.082066,20.601582,-33.45812,33.176617,-38.659115,37.39176
42.767086,33.240467,-51.740334,-48.82495,36.784134,35.07652,-56.29319,19.988256,-32.40501,32.116478,-37.329376,36.224327
41.29257,32.122143,-50.010223,-47.17856,35.615276,33.879967,-54.272377,19.160284,-31.292307,30.941107,-36.195087,34.999504
11.835178,9.172983,-14.372112,-13.559278,10.146958,9.68173,-15.642001,5.554485,-8.944005,8.813302,-10.296125,9.970248
240.35265,184.87888,-289.77463,-272.3117,205.92674,195.76315,-315.24423,111.91351,-181.2275,178.95175,-207.50296,202.56007
34.018528,26.366747,-41.168625,-38.76941,29.311224,27.87019,-44.725315,15.85893,-25.789145,25.459867,-29.719257,28.807125
59.582024,46.171833,-71.95706,-67.860115,51.31902,48.875854,-78.30722,27.784817,-45.073086,44.704147,-51.984413,50.455727
17.414846,13.425646,-21.08915,-19.892458,14.9082775,14.18295,-22.909046,8.147965,-13.177774,13.029981,-15.141517,14.753392
34.66683,26.892334,-42.095634,-39.697628,29.866104,28.451704,-45.71924,16.204807,-26.334982,26.019648,-30.35347,29.435633
25.853504,20.045994,-31.218985,-29.452904,22.207943,21.178045,-33.815346,12.318973,-19.733332,19.405485,-22.529747,21.960686
41.313538,32.181023,-49.957554,-47.11741,35.71272,33.960987,-54.154236,19.705103,-31.589178,31.193453,-36.20711,35.159454
50.339123,38.62172,-60.733803,-56.983543,43.14189,40.91473,-65.74724,23.942945,-38.193214,37.497562,-43.44515,42.557014
40.54503,31.659328,-48.95005,-46.261116,35.053024,33.429626,-53.127163,19.284952,-31.000544,30.654486,-35.6364,34.553307
33.738853,26.24659,-40.807533,-38.52797,29.13773,27.768412,-44.277756,16.14757,-25.809286,25.4832,-29.553202,28.66846
54.412823,42.606888,-65.84775,-62.157722,47.128166,44.86938,-71.35604,25.96483,-41.624886,41.097103,-47.8842,46.367813
20.957163,16.278147,-25.340406,-23.942558,18.030155,17.189554,-27.47804,9.953669,-16.040321,15.751991,-18.33914,17.819675
49.886414,38.363552,-60.012016,-56.36526,42.703617,40.581417,-65.13011,23.702766,-37.846703,37.23972,-43.040043,42.157665
17.301376,13.426828,-20.923079,-19.749811,14.902416,14.199236,-22.681583,8.287402,-13.19837,13.05734,-15.096596,14.69411
23.612755,18.465488,-28.505999,-27.02954,20.42663,19.479597,-30.964417,11.310381,-18.03078,17.964106,-20.801105,20.120296
41.05929,32.017693,-49.607327,-46.860504,35.51495,33.838238,-53.78309,19.605135,-31.370626,31.07666,-36.11081,35.009518
20.534801,15.960124,-24.769617,-23.413366,17.632465,16.824453,-26.86176,9.802737,-15.657862,15.488813,-17.932846,17.433208
64.40038,50.082813,-77.53038,-73.19623,55.569057,52.93469,-84.25268,30.748968,-49.085567,48.688038,-56.283283,54.664017
52.867065,41.222343,-63.845352,-60.2768,45.762516,43.52184,-69.21826,25.191793,-40.39715,39.93222,-46.451096,44.99445
52.56257,40.498867,-63.456505,-59.585007,45.098675,42.799026,-68.732635,25.01431,-39.970535,39.18404,-45.502953,44.4447
13.368929,10.443921,-16.13059,-15.302831,11.504673,10.990969,-17.483683,6.379726,-10.16966,10.131172,-11.812569,11.425689
29.526913,23.025509,-35.694263,-33.71131,25.54828,24.279367,-38.708927,14.112553,-22.536047,22.374722,-25.9545,25.143473
60.385,46.556957,-72.95049,-68.510635,51.866383,49.226936,-78.97259,28.680418,-45.950073,45.082336,-52.37069,51.140015
36.992508,28.514412,-44.661102,-41.965515,31.78657,30.150234,-48.37581,17.587858,-28.11231,27.65564,-32.104633,31.317682
76.286804,59.383316,-92.138435,-86.80812,65.88478,62.598408,-99.824234,36.261456,-58.19424,57.36056,-66.73773,64.783806
108.45898,84.32846,-130.33347,-122.944305,93.69342,89.095726,-141.6149,51.564125,-82.49391,81.80447,-94.74376,91.995316
62.374374,48.123486,-75.22266,-70.60282,53.6202,50.836155,-81.43273,29.61954,-47.407787,46.606205,-54.06176,52.741737
17.627945,13.780702,-21.357485,-20.197182,15.190405,14.468357,-23.121464,8.441171,-13.496176,13.28661,-15.48009,15.005063
7.3633204,5.672759,-8.822738,-8.381204,6.2230434,5.968441,-9.640198,3.546693,-5.602615,5.5180244,-6.361917,6.264935
56.24787,43.85776,-67.87629,-64.02775,48.67159,46.314606,-73.69636,26.843998,-42.97232,42.530018,-49.299362,47.806282
30.177904,23.445587,-36.386158,-34.35118,26.009573,24.772726,-39.515057,14.446512,-22.956362,22.759336,-26.387741,25.600845
26.369183,20.491383,-31.88056,-30.072123,22.73302,21.657682,-34.575912,12.626251,-20.109722,19.91891,-23.088121,22.43842
19.757816,15.3594,-23.842627,-22.5844,17.047504,16.244724,-25.909672,9.442084,-15.070147,14.979706,-17.39275,16.854435
39.502434,30.634083,-47.56761,-44.804005,33.97923,32.369373,-51.649406,18.994572,-30.146507,29.719007,-34.30989,33.491608
33.31075,26.06282,-40.20328,-38.045757,28.859064,27.49304,-43.627655,16.037569,-25.503628,25.31203,-29.361822,28.39236
32.353043,25.19492,-38.962444,-36.74446,27.982767,26.64419,-42.22934,15.485719,-24.67004,24.437551,-28.339443,27.500607
