0,1,2
0.027455095,0.15557489,-1.0657623
-6.9632235,-1.0363803,-11.047787
-4.9325485,-3.5780442,-7.547473
-3.3712459,-4.526921,-4.5740047
-5.1835675,-3.8460927,-7.862449
3.8009343,20.544847,-7.473502
-2.7168941,3.9937153,-6.6337867
3.769216,21.419987,-8.00349
-4.5791364,-6.246553,-5.722938
0.5473084,0.5706607,-0.44049287
0.7430021,0.5258297,-0.2548436
0.84940726,0.562273,-0.1678425
8.906801,6.0491085,4.5413194
-0.43541282,-1.0032363,-0.47038078
-2.8046308,3.9176455,-6.682982
-2.6280656,-3.6130757,-3.5788913
0.56978446,0.53286576,-0.4035381
-4.5667515,3.7734828,-9.990247
1.1709871,1.0571328,-0.031252623
-0.39960808,-0.943727,-0.45338345
-7.4882283,-9.79049,-9.684553
-2.9060202,3.6942887,-6.7341485
1.411444,1.2218877,-0.32997727
1.197436,1.4306917,-0.771629
-0.24537224,-0.68737936,-0.38016415
2.6395316,1.7458191,0.6403941
-7.337404,-9.556775,-9.516358
5.827497,3.760138,2.9321833
0.5674155,0.48356834,-0.33088565
-0.62389284,-1.2607774,-0.6712303
-2.1160004,-1.8533405,-3.2442265
1.4892601,0.7584202,0.29928052
0.040555123,0.716015,-1.000993
1.0119585,0.96520996,-0.72820336
0.38855004,0.47666255,-0.6674536
-1.8127116,6.000171,-6.68194
-2.9615035,0.04121831,-5.3736844
-7.010243,-0.90760565,-11.17348
-2.1920857,-3.211946,-2.7253504
0.8368036,0.90292335,-0.4327364
-2.4088745,-0.77205324,-4.454993
-2.7092617,6.039516,-7.8870044
-0.2880625,-0.7583327,-0.4004302
5.9279013,3.862503,2.8400464
7.1205564,7.5080433,3.0539412
-5.0464406,-6.838384,-6.3142476
0.33649427,0.73633015,-0.5299394
-1.2135414,14.379035,-10.610304
0.987657,0.79969203,-0.10609001
-0.8218226,-1.412271,-1.1199183
5.8136573,3.7491612,2.9298239
0.923764,0.7542168,0.044712722
1.0518073,0.60981655,-0.060550094
-0.3114733,-0.79724264,-0.41154385
-2.068875,-0.53062725,-4.061413
-5.981684,-1.1299524,-9.381893
-4.967899,-2.737373,-7.488854
3.7697606,15.54936,-4.702959
-0.38859123,-0.92541647,-0.4481535
-0.22204551,-0.68220925,-0.3571852
5.7186193,3.6851304,2.7472715
3.6326685,3.3191297,1.0946652
-0.39582103,-0.93743277,-0.45158565
3.1485627,3.530103,0.9869038
-1.3126818,-2.009398,-1.7578591
-6.7563457,0.8732978,-11.71311
-8.092144,-8.801376,-10.704648
1.0002315,0.8166441,-0.05800113
-2.4137166,-3.4453669,-3.0467215
1.5301472,2.0112176,-0.5564294
7.727077,9.207384,3.204466
-0.3040664,-0.7813364,-0.40705433
-7.8161077,-8.701831,-10.336127
1.2722713,3.9617443,-0.82387197
-2.9333377,0.63482916,-5.651618
-1.782089,-1.9311817,-2.709282
0.9762043,0.52376866,-0.00692901
-0.5838812,16.256865,-10.612262
-0.3218089,-0.8108295,-0.41545287
1.3581578,1.0502162,0.0314714
1.8117918,1.7095261,-0.1290417
-7.263024,-6.649862,-9.940054
-1.0221599,-1.6687697,-1.3432597
-5.6703568,0.047945112,-9.550975
0.7477508,0.68574226,-0.22077659
-0.4423891,-1.011268,-0.47253028
-2.12757,-0.1787397,-3.759688
-8.682296,-9.845949,-11.383043
0.52696246,0.6548315,-0.42134592
6.374345,4.173546,3.2240734
-7.678302,-8.523136,-10.198563
-2.8437154,0.43970975,-5.4129367
6.346507,4.1550465,3.205634
-0.28597936,-0.75127065,-0.39849272
6.420428,4.447068,3.205562
1.9960221,1.962233,-0.07492629
-7.675232,-8.486471,-10.168686
5.434041,4.0991707,2.4417233
6.592505,4.6548576,3.3145373
-0.27995035,-0.7412487,-0.39563885
-0.5580228,-1.1564475,-0.61885226
-3.102956,-4.2426596,-4.0513926
-1.4526325,-1.0421078,-2.2661011
2.1292553,2.4302907,-0.2131832
0.13503507,-0.3850515,-0.08760974
0.94303167,0.80999434,-0.123696715
1.5044501,1.1756555,0.017729968
-0.2522169,-0.6951479,-0.38251105
3.2555707,3.1697829,1.2153057
-0.3367953,-0.83574116,-0.42254677
7.7739367,8.620101,3.4637322
3.8898892,2.7880874,1.5919287
1.6956333,2.0700147,-0.22986689
0.9793952,0.8694134,-0.209084
1.0027015,0.51214635,0.0011347234
-7.124589,0.07563123,-11.850554
0.687226,0.85337305,-0.44133267
-0.06071433,-0.54410315,-0.23234507
-2.1490233,7.72685,-7.8424854
0.9643098,0.52081096,0.0018943846
0.6776466,0.6906146,-0.29397622
